assets.artemis_id,Custom.metrics,Count of assets.symbol
crypto-raiders,ATH_DATE,1
crypto-raiders,ATL,1
crypto-raiders,ATL_CHG_PCT,1
crypto-raiders,ATL_DATE,1
crypto-raiders,CIRC_SUPPLY,1
crypto-raiders,CMC,1
crypto-raiders,FDMC,1
crypto-raiders,FDV,1
crypto-raiders,MAX_SUPPLY,1
crypto-raiders,MC,1
crypto-raiders,NEW_TWITTER_FOLLOWERS,1
crypto-raiders,PRICE,1
crypto-raiders,TOT_SUPPLY,1
crypto-raiders,TWITTER_FOLLOWERS,1
curve,24H_MC_CHG,1
curve,24H_MC_CHG_PCT,1
curve,24H_PRICE_CHG,1
curve,24H_PRICE_CHG_PCT,1
curve,24H_PRICE_HIGH,1
curve,24H_PRICE_LOW,1
curve,24H_VOLUME,1
curve,30D_PRICE_CHG_PCT,1
curve,30D_VOLUME,1
curve,7D_PRICE_CHG_PCT,1
curve,ATH,1
curve,ATH_CHG_PCT,1
curve,ATH_DATE,1
curve,ATL,1
curve,ATL_CHG_PCT,1
curve,ATL_DATE,1
curve,CIRC_SUPPLY,1
curve,CMC,1
curve,FDMC,1
curve,FDV,1
curve,FEES,1
curve,MAX_SUPPLY,1
curve,MC,1
curve,PRICE,1
curve,TOT_SUPPLY,1
curve,TRADING_VOLUME,1
curve,TVL,1
curve,UNIQUE_TRADERS,1
curve,WEEKLY_COMMITS_CORE,1
curve,WEEKLY_COMMITS_SUB,1
curve,WEEKLY_DEVS_CORE,1
curve,WEEKLY_DEVS_SUB,1
decentraland,24H_MC_CHG,1
decentraland,24H_MC_CHG_PCT,1
decentraland,24H_PRICE_CHG,1
decentraland,24H_PRICE_CHG_PCT,1
decentraland,24H_PRICE_HIGH,1
decentraland,24H_PRICE_LOW,1
decentraland,24H_VOLUME,1
decentraland,30D_PRICE_CHG_PCT,1
decentraland,30D_VOLUME,1
decentraland,7D_PRICE_CHG_PCT,1
decentraland,ATH,1
decentraland,ATH_CHG_PCT,1
decentraland,ATH_DATE,1
decentraland,ATL,1
decentraland,ATL_CHG_PCT,1
decentraland,ATL_DATE,1
decentraland,CIRC_SUPPLY,1
decentraland,CMC,1
decentraland,FDMC,1
decentraland,FDV,1
decentraland,MAX_SUPPLY,1
decentraland,MC,1
decentraland,NEW_TWITTER_FOLLOWERS,1
decentraland,PRICE,1
decentraland,TOT_SUPPLY,1
decentraland,TWITTER_FOLLOWERS,1
decentraland,WEEKLY_COMMITS_CORE,1
decentraland,WEEKLY_COMMITS_SUB,1
decentraland,WEEKLY_DEVS_CORE,1
decentraland,WEEKLY_DEVS_SUB,1
decentral-games,24H_MC_CHG,1
decentral-games,24H_MC_CHG_PCT,1
decentral-games,24H_PRICE_CHG,1
decentral-games,24H_PRICE_CHG_PCT,1
decentral-games,24H_PRICE_HIGH,1
decentral-games,24H_PRICE_LOW,1
decentral-games,24H_VOLUME,1
decentral-games,30D_PRICE_CHG_PCT,1
decentral-games,30D_VOLUME,1
decentral-games,7D_PRICE_CHG_PCT,1
decentral-games,ATH,1
decentral-games,ATH_CHG_PCT,1
decentral-games,ATH_DATE,1
decentral-games,ATL,1
decentral-games,ATL_CHG_PCT,1
decentral-games,ATL_DATE,1
decentral-games,CIRC_SUPPLY,1
decentral-games,CMC,1
decentral-games,FDMC,1
decentral-games,FDV,1
decentral-games,MAX_SUPPLY,1
decentral-games,MC,1
decentral-games,PRICE,1
decentral-games,TOT_SUPPLY,1
decentral-games,WEEKLY_COMMITS_CORE,1
decentral-games,WEEKLY_DEVS_CORE,1
defi,,1
defi-kingdoms,24H_MC_CHG,1
defi-kingdoms,24H_MC_CHG_PCT,1
defi-kingdoms,24H_PRICE_CHG,1
defi-kingdoms,24H_PRICE_CHG_PCT,1
defi-kingdoms,24H_PRICE_HIGH,1
defi-kingdoms,24H_PRICE_LOW,1
defi-kingdoms,24H_VOLUME,1
defi-kingdoms,30D_PRICE_CHG_PCT,1
defi-kingdoms,30D_VOLUME,1
defi-kingdoms,7D_PRICE_CHG_PCT,1
defi-kingdoms,ATH,1
defi-kingdoms,ATH_CHG_PCT,1
defi-kingdoms,ATH_DATE,1
defi-kingdoms,ATL,1
defi-kingdoms,ATL_CHG_PCT,1
defi-kingdoms,ATL_DATE,1
defi-kingdoms,CIRC_SUPPLY,1
defi-kingdoms,CMC,1
defi-kingdoms,DEX_VOLUMES,1
defi-kingdoms,FDMC,1
defi-kingdoms,FDV,1
defi-kingdoms,MAX_SUPPLY,1
defi-kingdoms,MC,1
defi-kingdoms,NEW_TWITTER_FOLLOWERS,1
defi-kingdoms,PRICE,1
defi-kingdoms,TOT_SUPPLY,1
